Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
SOUTHEAST ALABAMA MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MARSHALL MEDICAL CENTER SOUTH,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ELIZA COFFEE MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MIZELL MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CRENSHAW COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
HARTSELLE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Not Available
MARSHALL MEDICAL CENTER NORTH,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ST VINCENT'S EAST,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DEKALB REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SOUTHWEST ALABAMA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Not Available
SHELBY BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CALLAHAN EYE FOUNDATION HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HELEN KELLER MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
DALE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CHEROKEE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAPTIST MEDICAL CENTER SOUTH,Acute Care Hospitals,Voluntary non-profit - Church,Yes
JACKSON HOSPITAL & CLINIC INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GEORGE H. LANIER MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ELBA GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
EAST ALABAMA MEDICAL CENTER AND SNF,Acute Care Hospitals,Government - Hospital District or Authority,Yes
WEDOWEE HOSPITAL,Acute Care Hospitals,Government - Local,Yes
UNIVERSITY OF ALABAMA HOSPITAL,Acute Care Hospitals,Government - State,Yes
COMMUNITY HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CULLMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ANDALUSIA REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
STRINGFELLOW MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
HUNTSVILLE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GADSDEN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CHILTON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MARION REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FAYETTE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
RIVERVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
GEORGIANA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEDICAL CENTER ENTERPRISE,Acute Care Hospitals,Proprietary,Yes
ST VINCENTS BLOUNT,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GREENE COUNTY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
LAKE MARTIN COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
PARKWAY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
FLOWERS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ST VINCENT'S BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BIBB MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
LAWRENCE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HIGHLANDS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
WIREGRASS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
RUSSELL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FLORALA MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MEDICAL CENTER BARBOUR,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CLAY COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
NORTHEAST ALABAMA REGIONAL MED CENTER,Acute Care Hospitals,Government - Local,Yes
ATHENS-LIMESTONE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SOUTH BALDWIN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
DECATUR GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
NORTHWEST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
UNIV OF SOUTH ALABAMA MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
WALKER BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PROVIDENCE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
GROVE HILL MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
D C H REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HALE COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ELMORE COMMUNITY HOSPITAL,Acute Care Hospitals,Government - State,Yes
D W MCMILLAN MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
THOMAS HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CITIZENS BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
J PAUL JONES HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,No
BAPTIST MEDICAL CENTER-PRINCETON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
TRINITY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
PRATTVILLE BAPTIST HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PICKENS COUNTY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BULLOCK COUNTY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
BRYAN W WHITFIELD MEM HOSP INC,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MOBILE INFIRMARY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",Acute Care Hospitals,Voluntary non-profit - Other,Yes
VAUGHAN REG MED CENTER PARKWAY CAMPUS,Acute Care Hospitals,Proprietary,Yes
MONROE COUNTY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
LAKELAND COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
TROY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
JACKSON MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
NORTH BALDWIN INFIRMARY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST VINCENT'S ST CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CRESTWOOD MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
COOPER GREEN MERCY HOSPITAL,Acute Care Hospitals,Government - Local,No
HILL HOSPITAL OF SUMTER COUNTY,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BROOKWOOD MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SPRINGHILL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
NORTHPORT MEDICAL CENTER,Acute Care Hospitals,Government-Hospital District or Authority,Not Available
JACKSONVILLE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
EVERGREEN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
BAPTIST MEDICAL CENTER EAST,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BIRMINGHAM VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
L V STABLER MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
INFIRMARY WEST,Acute Care Hospitals,Government - State,Yes
SHOALS HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
RUSSELLVILLE HOSPITAL,Acute Care Hospitals,Proprietary,Yes
COOSA VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
UAB HIGHLANDS,Acute Care Hospitals,Government-Hospital District or Authority,Not Available
JACK HUGHSTON MEMORIAL HOSPITAL,Acute Care Hospitals,Government - State,Yes
ATMORE COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
TUSCALOOSA VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
RED BAY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,Childrens,Government - State,Yes
PROVIDENCE ALASKA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MAT-SU REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BARTLETT REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
FAIRBANKS MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ALASKA REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
YUKON KUSKOKWIM DELTA REG HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
CENTRAL PENINSULA GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ALASKA NATIVE MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
MT EDGECUMBE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PROVIDENCE VALDEZ MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
PROVIDENCE SEWARD HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SITKA COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PETERSBURG MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
WRANGELL MEDICAL CENTER,Critical Access Hospitals,Government - Local,No
PROVIDENCE KODIAK ISLAND MEDICAL CTR,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CORDOVA COMMUNITY MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
NORTON SOUND REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PEACEHEALTH KETCHIKAN MEDICAL             CENTER,Critical Access Hospitals,Voluntary non-profit - Church,Yes
SOUTH PENINSULA HOSPITAL,Critical Access Hospitals,Government - Local,Yes
MARYVALE HOSPITAL,Acute Care Hospitals,Proprietary,Yes
BANNER GOOD SAMARITAN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
TUCSON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VERDE VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CARONDELET ST  MARYS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
