id,name,speciality,address,city,state,zip,lat,lng
0,GULF COAST MEDICAL CENTER,E,152 Bissell Street,Manchester,CT,06040,41.7727917,-72.5136789
1,VA CENTRAL IOWA HEALTHCARE SYSTEM,M,1361 Barret Park Way,Montgomery,AL,36117,32.3073745,-86.14638219999999
2,"MOSES H CONE MEMORIAL HOSPITAL, THE",C,1217 Bay Street,Tybee Island,GA,31328,32.0222005,-80.8587482
3,BRIGHTON HOSPITAL,M,1501 New Hampshire Avenue,Lynn Haven,FL,32444,30.2361205,-85.6624582
4,FRANCISCAN PHYSICIANS HOSPITAL LLC,L,1208 Lindenwood Drive,Panama City,FL,32405,30.187016,-85.681247
5,HOSPITAL METROPOLITANO DE LA MONTANA,O,86 Highland Street,Manchester,CT,06040,41.763769,-72.500345
6,GULF COAST MEDICAL CENTER,E,3027 Badger Drive,Pleasanton,CA,94566,37.667338,-121.849663
7,TRIGG COUNTY HOSPITAL,B,5330 Shaun Circle,Anchorage,AK,99507,61.132468,-149.782196
8,HIGHLAND HOSPITAL,P,3701 Lake Towne Drive,Nashville,TN,37013,36.068871,-86.612042
9,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,K,74 Heard Street,Chelsea,MA,02150,42.3972985,-71.035599
10,MARK TWAIN ST JOSEPH'S HOSPITAL,M,10881 Northforde Drive,Cupertino,CA,95014,37.335812,-122.023985
11,WILMINGTON VA MEDICAL CENTER,R,115 Waddell Road,Manchester,CT,06040,41.7660221,-72.5477647
12,CAPITAL MEDICAL CENTER,H,883 Rodney Drive,Nashville,TN,37205,36.116597,-86.907061
13,"GOOD SAMARITAN HOSPITAL, INC",W,35 Pilot Knob Lane,Telluride,CO,81435,37.951268,-107.855574
14,"CHENANGO MEMORIAL HOSPITAL, INC",D,1649 Timberridge Court,Fayetteville,AR,72704,36.084563,-94.206082
15,TRI COUNTY MEM HSPTL,E,1439 2nd Street,Panama City,FL,32409,30.291842,-85.651057
16,OKANOGAN-DOUGLAS DISTRICT HOSPITAL,W,20097 Butterfield Drive,Castro Valley,CA,94546,37.6990989,-122.085039
17,OCHSNER MEDICAL CENTER-BATON ROUGE,F,16412 Eastwood Cut Off Road,Louisville,KY,40245,38.2344531,-85.4476466
18,RIVERVIEW REGIONAL MEDICAL CENTER NORTH,J,5754 Belleau Drive,Montgomery,AL,36117,32.394398,-86.203138
19,FRANKLIN HOSPITAL,G,5 Meadow Lane,Rutland,VT,05701,43.619797,-72.983231
20,GASTON MEMORIAL HOSPITAL,O,5630 Silverado Way,Anchorage,AK,99518,61.1695128,-149.8896842
21,NORTH FLORIDA REGIONAL MEDICAL CENTER,M,6262 29th Street Northwest,Washington,DC,20015,38.972038,-77.05775899999999
22,NYU HOSPITALS CENTER,S,9506 Civic Way,Prospect,KY,40059,38.3213458,-85.5638547
23,MIDWEST MEDICAL CENTER,E,11 Meeting Place Circle,Boxford,MA,01921,42.6946519,-71.0008529
24,BARTON MEMORIAL HOSPITAL,R,345 Tattnall Street,Savannah,GA,31401,32.0737537,-81.0972164
25,HOT SPRING COUNTY MEDICAL CENTER,G,2617 Truffula Circle,Norman,OK,73069,35.2505473,-97.4527748
26,SPOKANE VA MEDICAL CENTER,F,172 Homestead Street,Manchester,CT,06042,41.7875869,-72.530953
27,DOCTORS HOSPITAL,O,6740 West Montebello Avenue,Glendale,AZ,85303,33.5205715,-112.2039219
28,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,N,2620 West 33rd Avenue,Anchorage,AK,99517,61.19027800000001,-149.9339819
29,MERCY HOSPITAL TURNER MEMORIAL,L,127 Andover Drive,Savannah,GA,31405,32.02335,-81.099446
30,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,O,2115 Longest Avenue,Louisville,KY,40204,38.2366023,-85.7136791
31,RICHLAND PARISH HOSPITAL-DELHI,Z,347 Brewer Drive,Nashville,TN,37211,36.054592,-86.708157
32,"PORTER HOSPITAL, INC",A,14 Huntington Street,Manchester,CT,06040,41.7772379,-72.518456
33,OAKES COMMUNITY HOSPITAL,S,3635 Bisquier Drive,Anchorage,AK,99508,61.188009,-149.786529
34,HASKELL MEMORIAL HOSPITAL,R,915 Arkansas Avenue,Lynn Haven,FL,32444,30.244151,-85.6392089
