name,speciality,address,city,squidward,state,zip,lat,lng,johnStamos
MEDICAL COLLEGE OF VIRGINIA HOSPITALS,C,5119 Marla Drive,Panama City,FL,32404,30.136822,-85.59763199999999
LAFAYETTE REGIONAL HEALTH CENTER,I,350 Lydall Street,Manchester,CT,06042,41.794672,-72.49306899999999
TRUSTPOINT HOSPITAL,R,2075 Archer Drive,Fayetteville,AR,72701,36.072849,-94.188638
TWIN COUNTY REGIONAL HOSPITAL,W,3438 Carlton Avenue,Fort Collins,CO,80525,40.5396755,-105.0444837
CLAIBORNE COUNTY HOSPITAL,V,9712 Stream View Trail,Louisville,KY,40258,38.136731,-85.88158
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",L,3 Carson Street,Chico,CA,95928,39.725125,-121.796593
MERCER COUNTY HOSPITAL,O,4601 Reka Drive,Anchorage,AK,99508,61.20430280000001,-149.7948294
MERCY MEDICAL CENTER,O,2220 Kirk Avenue,Nashville,TN,37218,36.1977839,-86.825611
STROUD REGIONAL MEDICAL CENTER,W,2815 Saint Edwards Drive,Nashville,TN,37211,36.112224,-86.738739
"PORTER HOSPITAL, INC",S,1720 Quacco Road,Pooler,GA,31322,32.062374,-81.269502
PARKLAND MEDICAL CENTER,O,3179 18th Street Northwest,Washington,DC,20010,38.9312712,-77.0412983
KERSHAW HEALTH,A,20097 Butterfield Drive,Castro Valley,CA,94546,37.6990989,-122.085039
CASTLE MEDICAL CENTER,I,1456 North Coghill Drive,Fayetteville,AR,72704,36.0829797,-94.21443479999999
BIGFORK VALLEY HOSPITAL,N,31 Yosemite Avenue,Oakland,CA,94611,37.823278,-122.255305
JEWISH HOSPITAL - SHELBYVILLE,A,3 Carson Street,Chico,CA,95928,39.725125,-121.796593
LAFAYETTE REGIONAL HEALTH CENTER,N,112 Joyner Avenue,Nashville,TN,37210,36.116434,-86.742216
JEFFERSON COUNTY MEMORIAL HOSPITAL,J,416 Waverly Avenue,Baltimore,MD,21225,39.21664699999999,-76.60289999999999
CAROLINAS MED CTR-UNIVERSITY,Y,928 Wright Avenue,Mountain View,CA,94043,37.3996523,-122.0796285
PALESTINE REGIONAL MEDICAL CENTER,U,5104 West Tierra Buena Lane,Glendale,AZ,85306,33.62898759999999,-112.168811
HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,H,2713 Mitscher Road,Washington,DC,20373,38.85952229999999,-77.00599009999999
GREELEY COUNTY HEALTH SERVICES,H,1903 Bashford Manor Lane,Louisville,KY,40218,38.1977059,-85.675288
NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,Z,1025 West 19th Street,Panama City,FL,32405,30.18252889999999,-85.676771
SOUTH CENTRAL REG MED CTR,F,5024 West Christy Drive,Glendale,AZ,85304,33.584293,-112.167218
ST ELIZABETH MEDICAL CENTER NORTH,F,831 West Center Street,Fayetteville,AR,72701,36.0636036,-94.1719205
THEDA CLARK MED CTR,B,7573 National Drive,Livermore,CA,94550,37.70168,-121.701526
FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,Q,404 Middle Turnpike West,Manchester,CT,06040,41.7806361,-72.54140129999999
COLUMBIA ST MARY'S HOSPITAL MILWAUKEE,K,2315 Chestnut Street,Montgomery,AL,36107,32.367382,-86.27867599999999
OCEAN MEDICAL CENTER,Y,1711 8th Street Northwest,Washington,DC,20001,38.9136509,-77.022629
DOCTORS HOSPITAL INC,B,2203 West 24th Street,Panama City,FL,32405,30.191986,-85.693254
ST ELIZABETH MEDICAL CENTER NORTH,C,425 Buckhalter Road,Savannah,GA,31405,32.027443,-81.17224999999999
CRAWFORD COUNTY MEMORIAL HOSPITAL,U,16412 Eastwood Cut Off Road,Louisville,KY,40245,38.2344531,-85.4476466
COLLEGE HOSPITAL COSTA MESA,Q,7822 Club Crest Drive,Arvada,CO,80005,39.8368309,-105.093756
MERCY HOSPITAL,K,3142 North Warwick Drive,Fayetteville,AR,72703,36.108083,-94.1208599
MERCY MEMORIAL HEALTH CENTER,O,3835 Oakes Drive,Hayward,CA,94542,37.661345,-122.032784
YAVAPAI REGIONAL MEDICAL CENTER-EAST,M,1753 Carswell Court,Suisun City,CA,94585,38.262862,-121.986278
ARROYO GRANDE COMMUNITY HOSPITAL,O,1607 Louisiana Avenue,Panama City,FL,32405,30.177473,-85.651614
OVERLAND PARK REG MED CTR,H,618 Amberjack Drive,Panama City,FL,32408,30.153991,-85.73084999999999
