id,name,speciality,address,city,state,zip,lat,lng
0,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,C,5119 Marla Drive,Panama City,FL,32404,30.136822,-85.59763199999999
1,LAFAYETTE REGIONAL HEALTH CENTER,I,350 Lydall Street,Manchester,CT,06042,41.794672,-72.49306899999999
2,TRUSTPOINT HOSPITAL,R,2075 Archer Drive,Fayetteville,AR,72701,36.072849,-94.188638
3,TWIN COUNTY REGIONAL HOSPITAL,W,3438 Carlton Avenue,Fort Collins,CO,80525,40.5396755,-105.0444837
4,CLAIBORNE COUNTY HOSPITAL,V,9712 Stream View Trail,Louisville,KY,40258,38.136731,-85.88158
5,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",L,3 Carson Street,Chico,CA,95928,39.725125,-121.796593
6,MERCER COUNTY HOSPITAL,O,4601 Reka Drive,Anchorage,AK,99508,61.20430280000001,-149.7948294
7,MERCY MEDICAL CENTER,O,2220 Kirk Avenue,Nashville,TN,37218,36.1977839,-86.825611
8,STROUD REGIONAL MEDICAL CENTER,W,2815 Saint Edwards Drive,Nashville,TN,37211,36.112224,-86.738739
9,"PORTER HOSPITAL, INC",S,1720 Quacco Road,Pooler,GA,31322,32.062374,-81.269502
10,PARKLAND MEDICAL CENTER,O,3179 18th Street Northwest,Washington,DC,20010,38.9312712,-77.0412983
11,KERSHAW HEALTH,A,20097 Butterfield Drive,Castro Valley,CA,94546,37.6990989,-122.085039
12,CASTLE MEDICAL CENTER,I,1456 North Coghill Drive,Fayetteville,AR,72704,36.0829797,-94.21443479999999
13,BIGFORK VALLEY HOSPITAL,N,31 Yosemite Avenue,Oakland,CA,94611,37.823278,-122.255305
14,JEWISH HOSPITAL - SHELBYVILLE,A,3 Carson Street,Chico,CA,95928,39.725125,-121.796593
15,LAFAYETTE REGIONAL HEALTH CENTER,N,112 Joyner Avenue,Nashville,TN,37210,36.116434,-86.742216
16,JEFFERSON COUNTY MEMORIAL HOSPITAL,J,416 Waverly Avenue,Baltimore,MD,21225,39.21664699999999,-76.60289999999999
17,CAROLINAS MED CTR-UNIVERSITY,Y,928 Wright Avenue,Mountain View,CA,94043,37.3996523,-122.0796285
18,PALESTINE REGIONAL MEDICAL CENTER,U,5104 West Tierra Buena Lane,Glendale,AZ,85306,33.62898759999999,-112.168811
19,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,H,2713 Mitscher Road,Washington,DC,20373,38.85952229999999,-77.00599009999999
20,GREELEY COUNTY HEALTH SERVICES,H,1903 Bashford Manor Lane,Louisville,KY,40218,38.1977059,-85.675288
21,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,Z,1025 West 19th Street,Panama City,FL,32405,30.18252889999999,-85.676771
22,SOUTH CENTRAL REG MED CTR,F,5024 West Christy Drive,Glendale,AZ,85304,33.584293,-112.167218
23,ST ELIZABETH MEDICAL CENTER NORTH,F,831 West Center Street,Fayetteville,AR,72701,36.0636036,-94.1719205
24,THEDA CLARK MED CTR,B,7573 National Drive,Livermore,CA,94550,37.70168,-121.701526
25,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,Q,404 Middle Turnpike West,Manchester,CT,06040,41.7806361,-72.54140129999999
26,COLUMBIA ST MARY'S HOSPITAL MILWAUKEE,K,2315 Chestnut Street,Montgomery,AL,36107,32.367382,-86.27867599999999
27,OCEAN MEDICAL CENTER,Y,1711 8th Street Northwest,Washington,DC,20001,38.9136509,-77.022629
28,DOCTORS HOSPITAL INC,B,2203 West 24th Street,Panama City,FL,32405,30.191986,-85.693254
29,ST ELIZABETH MEDICAL CENTER NORTH,C,425 Buckhalter Road,Savannah,GA,31405,32.027443,-81.17224999999999
30,CRAWFORD COUNTY MEMORIAL HOSPITAL,U,16412 Eastwood Cut Off Road,Louisville,KY,40245,38.2344531,-85.4476466
31,COLLEGE HOSPITAL COSTA MESA,Q,7822 Club Crest Drive,Arvada,CO,80005,39.8368309,-105.093756
32,MERCY HOSPITAL,K,3142 North Warwick Drive,Fayetteville,AR,72703,36.108083,-94.1208599
33,MERCY MEMORIAL HEALTH CENTER,O,3835 Oakes Drive,Hayward,CA,94542,37.661345,-122.032784
34,YAVAPAI REGIONAL MEDICAL CENTER-EAST,M,1753 Carswell Court,Suisun City,CA,94585,38.262862,-121.986278
35,ARROYO GRANDE COMMUNITY HOSPITAL,O,1607 Louisiana Avenue,Panama City,FL,32405,30.177473,-85.651614
36,OVERLAND PARK REG MED CTR,H,618 Amberjack Drive,Panama City,FL,32408,30.153991,-85.73084999999999
37,OKMULGEE MEMORIAL HOSPITAL,I,5611 Kendall Court,Arvada,CO,80002,39.7991311,-105.0667299
38,CROUSE HOSPITAL,G,788 Williamson Road,Montgomery,AL,36109,32.396071,-86.22619399999999
39,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,O,1222 Arcade Boulevard,Sacramento,CA,95815,38.626122,-121.43861
40,METHODIST HEALTHCARE MEMPHIS HOSPITALS,S,3704 Hughes Road,Louisville,KY,40207,38.240687,-85.649204
41,SOUTHWEST MS REGIONAL MEDICAL CENTER,P,3620 Bentfield Drive,Nashville,TN,37013,36.045177,-86.620921
42,ST JOSEPH'S HOSPITAL & HEALTH CENTER,U,7822 West Peppertree Lane,Glendale,AZ,85303,33.5358779,-112.227705
43,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,R,509 Sea Breeze Drive,Panama City Beach,FL,32413,30.264806,-85.967541
44,MITCHELL COUNTY HOSPITAL,Z,711 Tatem Street,Savannah,GA,31405,32.035775,-81.125465
45,EAST TEXAS MEDICAL CENTER - GILMER,A,712 Wilsonwood Place,Nashville,TN,37206,36.183401,-86.72769090000001
46,BALTIMORE WASHINGTON  MEDICAL CENTER,T,218 Durham Park Way,Pooler,GA,31322,32.127729,-81.25452299999999
47,ST FRANCIS HOSPITAL,E,3194 Bladensburg Road Northeast,Washington,DC,20018,38.930136,-76.95929799999999
